Year,Temperature
1880,-0.2
1881,-0.11
1882,-0.12
1883,-0.19
1884,-0.26
1885,-0.33
1886,-0.27
1887,-0.32
1888,-0.24
1889,0.04
1890,-0.26
1891,-0.29
1892,-0.21
1893,-0.33
1894,-0.34
1895,-0.26
1896,-0.17
1897,-0.06
1898,-0.18
1899,-0.25
1900,-0.06
1901,-0.05
1902,-0.17
1903,-0.26
1904,-0.47
1905,-0.32
1906,-0.2
1907,-0.27
1908,-0.36
1909,-0.46
1910,-0.36
1911,-0.44
1912,-0.27
1913,-0.4
1914,-0.21
1915,-0.07
1916,-0.17
1917,-0.47
1918,-0.37
1919,-0.18
1920,-0.24
1921,-0.24
1922,-0.18
1923,-0.26
1924,-0.18
1925,-0.29
1926,-0.07
1927,-0.19
1928,-0.13
1929,-0.26
1930,-0.23
1931,-0.06
1932,-0.04
1933,-0.2
1934,-0.22
1935,-0.12
1936,-0.15
1937,-0.05
1938,0.03
1939,-0.03
1940,0.13
1941,0.19
1942,0.18
1943,0.03
1944,0.2
1945,0.19
1946,0.08
1947,-0.02
1948,-0.05
1949,-0.06
1950,-0.1
1951,-0.15
1952,0.08
1953,0.1
1954,-0.05
1955,-0.1
1956,-0.14
1957,-0.07
1958,0.12
1959,0.08
1960,-0.01
1961,0.09
1962,0.04
1963,0.03
1964,-0.01
1965,-0.15
1966,-0.04
1967,-0.01
1968,-0.01
1969,0.01
1970,0.12
1971,-0.04
1972,-0.02
1973,0.21
1974,0.01
1975,0.04
1976,-0.09
1977,0.12
1978,0.14
1979,0.1
1980,0.32
1981,0.32
1982,0.22
1983,0.3
1984,0.27
1985,0.16
1986,0.21
1987,0.24
1988,0.43
1989,0.28
1990,0.41
1991,0.42
1992,0.38
1993,0.22
1994,0.24
1995,0.44
1996,0.4
1997,0.38
1998,0.63
1999,0.5
2000,0.42
2001,0.44
2002,0.63
2003,0.59
2004,0.62
2005,0.62
2006,0.66
2007,0.7
2008,0.52
2009,0.61
2010,0.77
2011,0.63
2012,0.63
2013,0.67
2014,0.73
2015,0.81
2016,1.05
2017,0.95
2018,0.87
2019,0.93
2020,1.04
2021,0.87
2022,0.92
2023,0.95
